game_id,play_id,nugs_score,opp_score,score_change,points,type,description,n1,n2,n3,n4,n5
"=""0021600010""",0,0,0,NA,NA,start of period,NA,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",1,0,0,0,0.0,jump ball,Jump Ball Davis vs. Nurkic: Tip to Mudiay,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",3,0,0,0,0.0,bad pass,"Jokic Bad Pass Turnover (P1.T1), Davis STEAL (1 STL)",Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",4,0,0,0,0.0,bad pass,"Mudiay STEAL (1 STL), S. Hill Bad Pass Turnover (P1.T1)",Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",5,0,0,0,0.0,s.foul,Asik S.FOUL (P1.T1) (D.Richardson),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",6,0,0,0,0.0,Free Throw 1 of 2,MISS Nurkic Free Throw 1 of 2,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",7,0,0,0,0.0,team rebound,Nuggets Rebound,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",8,1,0,1,1.0,Free Throw 2 of 2,Nurkic Free Throw 2 of 2 (1 PTS),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",10,1,2,-2,0.0,Running Jump Shot,Moore 8' Running Jump Shot (2 PTS) (Davis 1 AST),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",11,1,2,0,0.0,lost ball,"Mudiay Lost Ball Turnover (P1.T2), Moore STEAL (1 STL)",Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",12,1,2,0,0.0,Jump Shot,MISS Davis 21' Jump Shot,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",13,1,2,0,0.0,rebound defensive,Gallinari REBOUND (Off:0 Def:1),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",15,1,2,0,0.0,Hook Shot,MISS Jokic 7' Hook Shot,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",16,1,2,0,0.0,team rebound,PELICANS Rebound,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",17,1,2,0,0.0,l.b.foul,Nurkic L.B.FOUL (P1.T1) (B.Barnaky),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",19,1,2,0,0.0,bad pass,"Gallinari STEAL (1 STL), Moore Bad Pass Turnover (P1.T2)",Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",21,1,2,0,0.0,p.foul,Moore P.FOUL (P1.T2) (D.Richardson),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",22,1,2,0,0.0,Jump Shot,MISS Gallinari 15' Jump Shot,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",23,1,2,0,0.0,rebound defensive,Frazier REBOUND (Off:0 Def:1),Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
"=""0021600010""",24,1,2,0,0.0,Jump Shot,MISS Davis 25' 3PT Jump Shot,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay
